row_id	normative_claim	production_caller	producer_branch	phase	transport	result	body_behavior	residue	agent_custody	existing_proof	missing_dimensions	shared_mechanism	test_doubles	classification	mechanism_group	ledger_line	authority_locator
P05	O05 RAW_EXPORT_SOURCE_CAPABILITY_UNAVAILABLE: No body/R1; preserve existing Evaluating shell/token; original budget only	ordinary API raw-ingress graph → broker host; exact emitting caller not identified	NO PRODUCTION EMITTER IDENTIFIED; code currently only accepted/projected	A3 P1–P3	signed HTTP → private HTTP → PostgreSQL	RAW_EXPORT_SOURCE_CAPABILITY_UNAVAILABLE; 503 O	no raw read before B commit or on Final	No body/R1; preserve existing Evaluating shell/token; original budget only	same lease only for retryable result	S02 catalogue/mapper and synthetic Final only; no production emitter proof	Production emission/cause absent; Homeowner must decide missing branch versus surplus ledger row before row proof.	one B transaction + private union + preflight + body gate	synthetic Final is only mapper-control, not a producer proof	SEMANTIC_BLOCKER	BROKER_ADMISSION	125	parent v0.6 §6.2 O05
P06	O06 RAW_EXPORT_SOURCE_ARTIFACT_SIZE_LIMIT_EXCEEDED: Declared excess: no body; actual excess: stop first excess, terminal exact attempt/cleanup	RawExportSourceIngressEndpoints → CaptureRuntimeRawIngressAdmissionService → private broker	actual excess producer exists in R2 stream; declared-excess producer absent because A3 admission has no per-class maxima	A3 P1/P5	signed HTTP → private HTTP → PostgreSQL	RAW_EXPORT_SOURCE_ARTIFACT_SIZE_LIMIT_EXCEEDED; 413 O	actual first-excess component exists; declared pre-body branch absent	actual terminal component exists; declared no-body residue unproved	same lease only for retryable result	P06 R2 actual-excess component 2/2; S02 mapper shape	Product correction/authority needed to wire ratified per-class maxima into admission before a declared-excess proof can exist.	class-limit admission + R2 first-excess latch	synthetic Final prohibited as producer proof	SEMANTIC_PRODUCT_BLOCKER	BROKER_ADMISSION	126	parent v0.6 §6.2 O06; planning brief class maxima
P07	O07 RAW_EXPORT_SOURCE_PLAINTEXT_RETENTION_INVALID: No body/R1; preserve anti-reuse identity; no same-buffer retry	RawExportSourceIngressEndpoints → CaptureRuntimeRawIngressAdmissionService → private broker	production retained-ingress effective-expiry gate	A3 P1/P3	Kestrel/TLS → production Agent client → Server → PostgreSQL	RAW_EXPORT_SOURCE_PLAINTEXT_RETENTION_INVALID; 422 O	zero raw/body-pipeline reads	anti-reuse alias Evaluating/Completed + ClaimEvaluating; no reservation/provider rows	terminal Agent result retires/zeroizes lease and forbids same-buffer retry	BROKER_ADMISSION current-source Server 3/3 includes P07; frozen Agent 2/2; BA-G2 outcome-branch and BA-G3 RED	direct proof is missing for the LEAST/AuthorityKind/deadline+safety-margin expiry calculation across realistic middle-boundary values	effective-expiry formula + outcome branch + terminal same-lease guard	authenticator only supplies post-auth caller; production broker/SQL/HTTP/Agent behavior	TEST_EXTENSION	BROKER_ADMISSION	127	parent v0.6 §6.2 O07; broker-admission packet v2
P08	O08 RAW_EXPORT_SOURCE_CAPACITY_UNAVAILABLE: No alias/R1/body; release partial capacity; bounded same-buffer retry	CaptureRuntimeRawIngressAdmissionService	RawExportIngressCapacity	A3 P2	HTTP → process-local capacity	RAW_EXPORT_SOURCE_CAPACITY_UNAVAILABLE; 503 O	zero second body read	No alias/R1/body; release partial capacity; bounded same-buffer retry	same-buffer bounded retry	Real RawExportIngressCapacity one-slot component and targeted capacity RED; Agent synthetic retry 5/5	Need one joined public HTTP→broker→Agent proof of partial-capacity release, no alias/R1/body and bounded same-buffer retry.	count/byte capacity lease across all exits	blocked first request is controlled precondition; capacity primitive real	TEST_EXTENSION	CAPACITY	128	parent v0.6 §6.2 O08
P09	O09 RAW_EXPORT_SOURCE_IDEMPOTENCY_BUSY: No new source/attempt/read; preserve exact current residue; bounded backoff	Admission service → broker façade	B-B/B-C alias/evaluation/state-gate SQL	A3 P3	private HTTP/PostgreSQL → Server mapper/Agent	RAW_EXPORT_SOURCE_IDEMPOTENCY_BUSY; 409 O	zero body on Final	No new source/attempt/read; preserve exact current residue; bounded backoff	retry/backoff/zeroization as outcome permits	Real broker/PG O09 6/6 with targeted RED; Agent original-deadline 2/2 with O09-specific RED	Need joined broker→public HTTP→Agent backoff proof with exact durable residue and no fresh provider/body side effects.	alias lock, token CAS, historic selector, reference gate, RE01 state gate	no synthetic Final for row closure; existing aggregate synthetic only tests mapper	TEST_EXTENSION	BROKER_CLAIM	129	parent v0.6 §6.2 O09
P10	O10 RAW_EXPORT_SOURCE_CLAIM_EVALUATION_IN_PROGRESS: Exact persisted retry time; no new token/attempt/read	Admission service → broker façade	B-B/B-C alias/evaluation/state-gate SQL	A3 P3	private HTTP/PostgreSQL → Server mapper/Agent	RAW_EXPORT_SOURCE_CLAIM_EVALUATION_IN_PROGRESS; 409 E	zero body on Final	Exact persisted retry time; no new token/attempt/read	retry/backoff/zeroization as outcome permits	Real persisted alias-evaluation component 1/1; no targeted RED yet	Need public HTTP no-body path, exact persisted retry UTC, terminal shape and targeted mutation; later re-evaluation proof.	alias lock, token CAS, historic selector, reference gate, RE01 state gate	no synthetic Final for row closure; existing aggregate synthetic only tests mapper	TEST_EXTENSION	BROKER_CLAIM	130	parent v0.6 §6.2 O10
P11	O11 RAW_EXPORT_SOURCE_CLAIM_TOKEN_INVALID: Token never egresses; no body/target disclosure; restart internal begin	Admission service → broker façade	B-B/B-C alias/evaluation/state-gate SQL	A3 broker P3	private HTTP/PostgreSQL → Server mapper/Agent	RAW_EXPORT_SOURCE_CLAIM_TOKEN_INVALID; 403 O	zero body on Final	Token never egresses; no body/target disclosure; restart internal begin	retry/backoff/zeroization as outcome permits	Real broker/PG O11 projection 6/6 with O11-specific RED	Need joined public HTTP→Agent invalid-token denial with no token/target disclosure and internal-begin restart proof.	alias lock, token CAS, historic selector, reference gate, RE01 state gate	no synthetic Final for row closure; existing aggregate synthetic only tests mapper	TEST_EXTENSION	BROKER_CLAIM	131	parent v0.6 §6.2 O11
P12	O12 RAW_EXPORT_SOURCE_CLAIM_RESTART_REQUIRED: Preserve identity; next public retry restarts internal begin, not public upload-init	Admission service → broker façade	B-B/B-C alias/evaluation/state-gate SQL	A3 broker P3	private HTTP/PostgreSQL → Server mapper/Agent	RAW_EXPORT_SOURCE_CLAIM_RESTART_REQUIRED; 409 O	zero body on Final	Preserve identity; next public retry restarts internal begin, not public upload-init	retry/backoff/zeroization as outcome permits	none	Need real restart-required producer, no upload-init replay, identity/residue/no-body and Agent transition mutation.	alias lock, token CAS, historic selector, reference gate, RE01 state gate	no synthetic Final for row closure; existing aggregate synthetic only tests mapper	TEST_EXTENSION	BROKER_CLAIM	132	parent v0.6 §6.2 O12
P13	O13 SOURCE_RETENTION_NOT_AUTHORIZED: Fresh rejection: no R1/key/object/read; no export-permit fallback	Admission service → broker façade	B-B/B-C alias/evaluation/state-gate SQL	A3 P3	private HTTP/PostgreSQL → Server mapper/Agent	SOURCE_RETENTION_NOT_AUTHORIZED; 403 O	zero body on Final	Fresh rejection: no R1/key/object/read; no export-permit fallback	retry/backoff/zeroization as outcome permits	none	Need production authority-loss cause at each claimed checkpoint, no R1/key/object/read, residue and no export fallback.	alias lock, token CAS, historic selector, reference gate, RE01 state gate	no synthetic Final for row closure; existing aggregate synthetic only tests mapper	TEST_EXTENSION	BROKER_CLAIM	133	parent v0.6 §6.2 O13
P14	O14 RAW_EXPORT_SOURCE_HISTORIC_COMMITMENT_KEY_UNAVAILABLE: No second source/read; recover exact historic key, never latest fallback	Admission service → broker façade	B-B/B-C alias/evaluation/state-gate SQL	A3 P3	private HTTP/PostgreSQL → Server mapper/Agent	RAW_EXPORT_SOURCE_HISTORIC_COMMITMENT_KEY_UNAVAILABLE; 503 O	zero body on Final	No second source/read; recover exact historic key, never latest fallback	retry/backoff/zeroization as outcome permits	Broker outcome-only Final shape component; no full historic-key recovery proof	Need real historic-key unavailable producer and recovery to exact historic key, no latest fallback/second read and targeted RED.	alias lock, token CAS, historic selector, reference gate, RE01 state gate	no synthetic Final for row closure; existing aggregate synthetic only tests mapper	TEST_EXTENSION	BROKER_CLAIM	134	parent v0.6 §6.2 O14
P15	O15 RAW_EXPORT_SOURCE_FINGERPRINT_CONFLICT: Preserve bound alias/ConflictTombstone; no source disclosure/second source	Admission service → broker façade	B-B/B-C alias/evaluation/state-gate SQL	A3 P3	private HTTP/PostgreSQL → Server mapper/Agent	RAW_EXPORT_SOURCE_FINGERPRINT_CONFLICT; 409 O	zero body on Final	Preserve bound alias/ConflictTombstone; no source disclosure/second source	retry/backoff/zeroization as outcome permits	Real ConflictTombstone residue component 6/6 with SQL mutation RED	Need joined public HTTP→Agent tombstone outcome, no source disclosure/second read and bounded replay/lease semantics.	alias lock, token CAS, historic selector, reference gate, RE01 state gate	no synthetic Final for row closure; existing aggregate synthetic only tests mapper	TEST_EXTENSION	BROKER_CLAIM	135	parent v0.6 §6.2 O15
P16	O16 RAW_EXPORT_SOURCE_RESERVATION_BUSY: Current owner unchanged; no second attempt/read; retry after exact lease/CAS conditions	Admission service → broker façade	B-B/B-C alias/evaluation/state-gate SQL	A3 P3	private HTTP/PostgreSQL → Server mapper/Agent	RAW_EXPORT_SOURCE_RESERVATION_BUSY; 409 O	zero body on Final	Current owner unchanged; no second attempt/read; retry after exact lease/CAS conditions	retry/backoff/zeroization as outcome permits	Pre-expiry state-gate 1/1 and targeted RED; residue/lease control; bypassed reentry predicate is NOT evidence	Need independent operands of pre-expiry state gate, exact lease/CAS retry transition, public HTTP no-body and Agent custody.	alias lock, token CAS, historic selector, reference gate, RE01 state gate	no synthetic Final for row closure; existing aggregate synthetic only tests mapper	TEST_EXTENSION	BROKER_CLAIM	136	parent v0.6 §6.2 O16
P17	O17 RAW_EXPORT_SOURCE_ALREADY_AVAILABLE: Durable original descriptor; no new body/key/object; release capacity	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	A3 P3	Kestrel body first attempt; durable PG/object continuation	RAW_EXPORT_SOURCE_ALREADY_AVAILABLE; 200 S	single bounded raw read; restart bodyless	Durable original descriptor; no new body/key/object; release capacity	original lease or recapture; no receipt-derived plaintext	none	Need durable Available replay through public HTTP/Agent with exact descriptor, no key/object/body and capacity release.	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	137	parent v0.6 §6.2 O17
P18	O18 RAW_EXPORT_SOURCE_TEMPORARILY_UNAVAILABLE: Cleanup incomplete read/transport; not replay-stable terminal; next retry re-evaluates	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	A3 P4/P5	Kestrel body first attempt; durable PG/object continuation	RAW_EXPORT_SOURCE_TEMPORARILY_UNAVAILABLE; 503 O	single bounded raw read; restart bodyless	Cleanup incomplete read/transport; not replay-stable terminal; next retry re-evaluates	original lease or recapture; no receipt-derived plaintext	none	Need actual cleanup-incomplete producer, public projection, no false terminal replay and next retry state re-evaluation.	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	138	parent v0.6 §6.2 O18
P19	O19 CONTENT_COMMITMENT_MISMATCH: Clean complete body mismatch; exact terminal attempt/cleanup; no Available	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	A3 P6	Kestrel body first attempt; durable PG/object continuation	CONTENT_COMMITMENT_MISMATCH; 422 O	single bounded raw read; restart bodyless	Clean complete body mismatch; exact terminal attempt/cleanup; no Available	original lease or recapture; no receipt-derived plaintext	none	Need clean EOF complete-body mismatch cause, exact TI terminal settlement, no Available and public/Agent shape proof.	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	139	parent v0.6 §6.2 O19
P20	O20 RECAPTURE_REQUIRED: Server exact-attempt terminal; local lost/expired buffer makes no call/DB mutation	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	A3 P4–P6 or client-local	Kestrel body first attempt; durable PG/object continuation	RECAPTURE_REQUIRED; 409 O server only	single bounded raw read; restart bodyless	Server exact-attempt terminal; local lost/expired buffer makes no call/DB mutation	original lease or recapture; no receipt-derived plaintext	none	Need server terminal cause and separate local lost-buffer no-call path, durable residue and distinct RECAPTURE vs mismatch/size semantics.	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	140	parent v0.6 §6.2 O20
P21	O21 RAW_EXPORT_SOURCE_RESUME_PENDING: Preserve complete ciphertext; no body resend/R2 restart; deterministic continuation	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	A3 P6	Kestrel body first attempt; durable PG/object continuation	RAW_EXPORT_SOURCE_RESUME_PENDING; 202 O	single bounded raw read; restart bodyless	Preserve complete ciphertext; no body resend/R2 restart; deterministic continuation	original lease or recapture; no receipt-derived plaintext	none	Need incomplete R2/R3-R5 producer, process-kill continuation with no resend/re-encryption, exact public/Agent result.	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	141	parent v0.6 §6.2 O21
P22	O22 RAW_EXPORT_SOURCE_AVAILABLE: Actual R5 published head; later replay O17; retain durable R6 cleanup	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	A3 P6/P7	Kestrel body first attempt; durable PG/object continuation	RAW_EXPORT_SOURCE_AVAILABLE; 200 S	single bounded raw read; restart bodyless	Actual R5 published head; later replay O17; retain durable R6 cleanup	original lease or recapture; no receipt-derived plaintext	none	Need full R2→R6 Available publication/cleanup producer, public/Agent success shape and replay O17 with no duplicate side effect.	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	142	parent v0.6 §6.2 O22
P23	O23 SOURCE_ENCRYPTION_FAILED: Project recoverability to O18/O20 after exact cleanup	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	Internal P5 cause	Kestrel body first attempt; durable PG/object continuation	SOURCE_ENCRYPTION_FAILED; NO EGRESS	single bounded raw read; restart bodyless	Project recoverability to O18/O20 after exact cleanup	original lease or recapture; no receipt-derived plaintext	none	Need actual encryption-failure producer and exact O18/O20 projection after safe key/object settlement, with mutation.	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	143	parent v0.6 §6.2 O23
P24	O24 RAW_EXPORT_SOURCE_TIME_BOUNDS_INVALID: Block activation, preserve existing residue	Program/RawIngressBroker/Agent Host/worker readiness	configuration validator and qualification guard	Readiness	host config, private Kestrel, PostgreSQL role scopes	RAW_EXPORT_SOURCE_TIME_BOUNDS_INVALID; NO EGRESS	zero raw body on invalid posture	Block activation, preserve existing residue	Agent retained plaintext retired on local denial	Existing Arch custody time-bounds join 2/2	Need bind four existing time-bound keys to Activated host/readiness outcome, post-lock no-new-work residue and targeted RED.	bounds, relationships, peer/Host, role/provider qualification	explicit test-host owners/capabilities only; product has no fixture fallback	TEST_EXTENSION	READINESS	144	parent v0.6 §6.2 O24
P25	O25 RAW_EXPORT_SOURCE_CAPACITY_CONFIGURATION_INVALID: Invalid capacity config blocks new work	Program/RawIngressBroker/Agent Host/worker readiness	configuration validator and qualification guard	Readiness	host config, private Kestrel, PostgreSQL role scopes	RAW_EXPORT_SOURCE_CAPACITY_CONFIGURATION_INVALID; NO EGRESS	zero raw body on invalid posture	Invalid capacity config blocks new work	Agent retained plaintext retired on local denial	Real Program capacity host proof; relationship baseline RED and corrected GREEN; focused guard mutants	Need upper-bound/framing-window matrix plus full invalid config no-egress across Activated host; targeted RED for remaining guards.	bounds, relationships, peer/Host, role/provider qualification	explicit test-host owners/capabilities only; product has no fixture fallback	TEST_EXTENSION	READINESS	145	parent v0.6 §6.2 O25
P26	O26 RAW_EXPORT_INGRESS_TRANSPORT_POSTURE_INVALID: Block admission; no silent transport downgrade	Program/RawIngressBroker/Agent Host/worker readiness	configuration validator and qualification guard	Ingress readiness	host config, private Kestrel, PostgreSQL role scopes	RAW_EXPORT_INGRESS_TRANSPORT_POSTURE_INVALID; NO EGRESS	zero raw body on invalid posture	Block admission; no silent transport downgrade	Agent retained plaintext retired on local denial	Real private Kestrel peer/Host guards with distinct targeted RED and restored GREEN	Need complete private transport posture matrix and no broker/body side effects beyond peer/Host controls; retained result mapping.	bounds, relationships, peer/Host, role/provider qualification	explicit test-host owners/capabilities only; product has no fixture fallback	TEST_EXTENSION	READINESS	146	parent v0.6 §6.2 O26
P27	O27 RAW_EXPORT_CAPTURE_HOST_POSTURE_INVALID: Block local retained submission	Program/RawIngressBroker/Agent Host/worker readiness	configuration validator and qualification guard	Agent readiness	host config, private Kestrel, PostgreSQL role scopes	RAW_EXPORT_CAPTURE_HOST_POSTURE_INVALID; NO EGRESS	zero raw body on invalid posture	Block local retained submission	Agent retained plaintext retired on local denial	none	Need real Agent host-posture denial before retained plaintext adoption/send, lease zeroization and targeted mutation.	bounds, relationships, peer/Host, role/provider qualification	explicit test-host owners/capabilities only; product has no fixture fallback	TEST_EXTENSION	READINESS	147	parent v0.6 §6.2 O27
P28	O28 RAW_EXPORT_CUSTODY_RECONCILIATION_HOST_POSTURE_INVALID: Preserve residue; block unqualified worker	Program/RawIngressBroker/Agent Host/worker readiness	configuration validator and qualification guard	Worker readiness	host config, private Kestrel, PostgreSQL role scopes	RAW_EXPORT_CUSTODY_RECONCILIATION_HOST_POSTURE_INVALID; NO EGRESS	zero raw body on invalid posture	Preserve residue; block unqualified worker	Agent retained plaintext retired on local denial	none	Need real reconciler host-posture denial while preserving ciphertext/residue; no unqualified worker dispatch.	bounds, relationships, peer/Host, role/provider qualification	explicit test-host owners/capabilities only; product has no fixture fallback	TEST_EXTENSION	READINESS	148	parent v0.6 §6.2 O28
P29	O29 RAW_EXPORT_AUTHORITY_INVALID: Do not import export authority code into ingress	C1/C2/C3 export assembly pipeline	source selection/authority/integrity/prepare/seal	Assembly/B4	PostgreSQL + provider	RAW_EXPORT_AUTHORITY_INVALID; NO EGRESS	no provider/body read where denied	Do not import export authority code into ingress	none	none	Need actual C1/C3 export-authority invalid producer and proof ingress/retention code cannot replace export permission.	independent export authority + selection CAS + integrity + seal	synthetic source setup only; actual export path required	TEST_EXTENSION	ASSEMBLY	149	parent v0.6 §6.2 O29
P30	O30 RAW_EXPORT_SOURCE_SELECTION_NONE: No source binding/provider read	C1/C2/C3 export assembly pipeline	source selection/authority/integrity/prepare/seal	Selection/assembly	PostgreSQL + provider	RAW_EXPORT_SOURCE_SELECTION_NONE; NO EGRESS	no provider/body read where denied	No source binding/provider read	none	none	Need real C1 source-selection none branch, no provider read/binding and exact durable no-change result.	independent export authority + selection CAS + integrity + seal	synthetic source setup only; actual export path required	TEST_EXTENSION	ASSEMBLY	150	parent v0.6 §6.2 O30
P31	O31 RAW_EXPORT_SOURCE_SELECTION_AMBIGUOUS: No selection mutation/provider read	C1/C2/C3 export assembly pipeline	source selection/authority/integrity/prepare/seal	Selection/assembly	PostgreSQL + provider	RAW_EXPORT_SOURCE_SELECTION_AMBIGUOUS; NO EGRESS	no provider/body read where denied	No selection mutation/provider read	none	none	Need real C1 ambiguous-selection branch, no mutation/provider read and exact public error.	independent export authority + selection CAS + integrity + seal	synthetic source setup only; actual export path required	TEST_EXTENSION	ASSEMBLY	151	parent v0.6 §6.2 O31
P32	O32 RAW_EXPORT_SOURCE_SELECTION_CONFLICT: Frozen mapping unchanged	C1/C2/C3 export assembly pipeline	source selection/authority/integrity/prepare/seal	Selection CAS	PostgreSQL + provider	RAW_EXPORT_SOURCE_SELECTION_CONFLICT; NO EGRESS	no provider/body read where denied	Frozen mapping unchanged	none	none	Need real C1 frozen-selection conflict, unchanged mapping/custody and exact error without a second source.	independent export authority + selection CAS + integrity + seal	synthetic source setup only; actual export path required	TEST_EXTENSION	ASSEMBLY	152	parent v0.6 §6.2 O32
P33	O33 RAW_EXPORT_SOURCE_UNAVAILABLE: No assembly/provider read; no false Available	C1/C2/C3 export assembly pipeline	source selection/authority/integrity/prepare/seal	Later resolver/assembly	PostgreSQL + provider	RAW_EXPORT_SOURCE_UNAVAILABLE; NO EGRESS	no provider/body read where denied	No assembly/provider read; no false Available	none	none	Need real C1 unavailable-source branch, no false Available/no provider read and exact recoverability.	independent export authority + selection CAS + integrity + seal	synthetic source setup only; actual export path required	TEST_EXTENSION	ASSEMBLY	153	parent v0.6 §6.2 O33
P34	O34 RAW_EXPORT_SOURCE_INTEGRITY_INVALID: Owned corruption/quarantine evidence, not R27 mismatch	C1/C2/C3 export assembly pipeline	source selection/authority/integrity/prepare/seal	Assembly verification	PostgreSQL + provider	RAW_EXPORT_SOURCE_INTEGRITY_INVALID; NO EGRESS	no provider/body read where denied	Owned corruption/quarantine evidence, not R27 mismatch	none	none	Need real owned corruption/quarantine producer, durable evidence and distinction from R27 content mismatch.	independent export authority + selection CAS + integrity + seal	synthetic source setup only; actual export path required	TEST_EXTENSION	ASSEMBLY	154	parent v0.6 §6.2 O34
P35	O35 RAW_EXPORT_ASSEMBLY_PREPARE_FAILED: Exact prepare abort, no assembly identity	C1/C2/C3 export assembly pipeline	source selection/authority/integrity/prepare/seal	C2 preparation	PostgreSQL + provider	RAW_EXPORT_ASSEMBLY_PREPARE_FAILED; NO EGRESS	no provider/body read where denied	Exact prepare abort, no assembly identity	none	none	Need exact C1 prepare-failure producer/rollback, no assembly identity and no source-provider side effect.	independent export authority + selection CAS + integrity + seal	synthetic source setup only; actual export path required	TEST_EXTENSION	ASSEMBLY	155	parent v0.6 §6.2 O35
P36	O36 RAW_EXPORT_ASSEMBLY_CLASS_SET_MISMATCH: No seal/assembly identity	C1/C2/C3 export assembly pipeline	source selection/authority/integrity/prepare/seal	Seal	PostgreSQL + provider	RAW_EXPORT_ASSEMBLY_CLASS_SET_MISMATCH; NO EGRESS	no provider/body read where denied	No seal/assembly identity	none	none	Need exact C1 class-set mismatch producer, no seal/assembly identity and independent export authority unchanged.	independent export authority + selection CAS + integrity + seal	synthetic source setup only; actual export path required	TEST_EXTENSION	ASSEMBLY	156	parent v0.6 §6.2 O36
Agent raw HTTP Expect → durable server B/R1 before first body byte	Production Agent signed CRT1 over real Kestrel/PG waits for committed B/R1 before sending any body byte.	CaptureRuntimeHttpClient → Kestrel A1/A3 raw ingress	Expect/continue boundary + B/R1 commit	before first body byte	real HttpClient/Kestrel/PostgreSQL	100-Continue or fail-closed final	first body byte only after committed R1; negative zero	observer sees committed B/R1 or no new B	original Agent lease retained/zeroized per result	none	at real Kestrel + PostgreSQL seam	Expect 100-Continue ordering, no fallback/downgrade	non-patient byte source only; no canned HTTP, no in-memory DB	TEST_EXTENSION	EXPECT	170	reconciliation row 170; companion contract
